"Time (s) Run #1","Absolute Pressure (kPa) Run #1","Temperature (°C) Run #1","Abs (K) Run #1"
39.700,103.937,53.17,326.32
39.750,103.943,53.17,326.32
39.800,103.909,53.18,326.33
39.850,103.956,53.18,326.33
39.900,103.950,53.18,326.33
39.950,103.924,53.19,326.34
40.000,103.943,53.19,326.34
40.050,103.917,53.20,326.35
40.100,103.917,53.20,326.35
40.150,103.926,53.21,326.36
40.200,103.922,53.21,326.36
40.250,103.919,53.22,326.37
40.300,103.922,53.23,326.38
40.350,103.917,53.23,326.38
40.400,103.900,53.24,326.39
40.450,103.922,53.25,326.40
40.500,103.924,53.25,326.40
40.550,103.896,53.26,326.41
40.600,103.917,53.27,326.42
40.650,103.919,53.27,326.42
40.700,103.922,53.28,326.43
40.750,103.948,53.29,326.44
40.800,103.917,53.31,326.46
40.850,103.924,53.31,326.46
40.900,103.941,53.32,326.47
40.950,103.961,53.33,326.48
41.000,103.932,53.34,326.49
41.050,103.915,53.34,326.49
41.100,103.958,53.34,326.49
41.150,103.943,53.35,326.50
41.200,103.885,53.35,326.50
41.250,103.898,53.36,326.51
41.300,103.874,53.36,326.51
41.350,103.898,53.37,326.52
41.400,103.926,53.37,326.52
41.450,103.915,53.38,326.53
41.500,103.896,53.38,326.53
41.550,103.902,53.38,326.53
41.600,103.919,53.39,326.54
41.650,103.883,53.40,326.55
41.700,103.889,53.40,326.55
41.750,103.887,53.41,326.56
41.800,103.906,53.42,326.57
41.850,103.913,53.43,326.58
41.900,103.880,53.43,326.58
41.950,103.863,53.44,326.59
42.000,103.878,53.45,326.60
42.050,103.878,53.45,326.60
42.100,103.906,53.46,326.61
42.150,103.874,53.47,326.62
42.200,103.876,53.47,326.62
42.250,103.867,53.48,326.63
42.300,103.854,53.49,326.64
42.350,103.880,53.49,326.64
42.400,103.876,53.50,326.65
42.450,103.872,53.51,326.66
42.500,103.867,53.51,326.66
42.550,103.878,53.52,326.67
42.600,103.867,53.53,326.68
42.650,103.854,53.53,326.68
42.700,103.904,53.54,326.69
42.750,103.876,53.55,326.70
42.800,103.850,53.55,326.70
42.850,103.876,53.55,326.70
42.900,103.876,53.56,326.71
42.950,103.872,53.56,326.71
43.000,103.876,53.56,326.71
